Temperatura,Coeficiente de Resfriamento,Máximo de Iterações,Execução,Função Objetivo,Tempo (ms)
100,1.00,100,2,456.01,828.74
100,1.00,100,3,475.53,831.53
100,1.00,100,4,469.85,829.72
100,1.00,100,5,459.42,829.01
100,1.00,100,6,456.21,829.88
100,1.00,100,7,443.76,828.97
100,1.00,100,8,447.10,829.56
100,1.00,100,9,453.00,838.71
100,1.00,100,10,471.42,855.76
1000,0.50,5,1,1282.26,0.09
1000,0.50,5,2,1232.96,0.09
1000,0.50,5,3,1184.45,0.09
1000,0.50,5,4,1184.17,0.08
1000,0.50,5,5,1224.15,0.09
1000,0.50,5,6,1289.19,0.08
1000,0.50,5,7,1136.52,0.08
1000,0.50,5,8,1233.05,0.09
1000,0.50,5,9,1193.72,0.08
1000,0.50,5,10,1193.07,0.09
1000,0.50,10,1,1097.81,0.17
1000,0.50,10,2,1126.90,0.17
1000,0.50,10,3,1135.75,0.17
1000,0.50,10,4,1110.98,0.17
1000,0.50,10,5,1105.46,0.16
1000,0.50,10,6,1191.06,0.16
1000,0.50,10,7,1075.77,0.17
1000,0.50,10,8,1093.62,0.17
1000,0.50,10,9,1202.52,0.16
1000,0.50,10,10,1152.03,0.16
1000,0.50,50,1,819.91,0.80
1000,0.50,50,2,812.73,0.80
1000,0.50,50,3,841.38,0.80
1000,0.50,50,4,805.95,0.80
1000,0.50,50,5,833.15,0.80
1000,0.50,50,6,886.00,0.80
1000,0.50,50,7,806.12,0.81
1000,0.50,50,8,858.16,0.80
1000,0.50,50,9,766.79,0.80
1000,0.50,50,10,837.75,0.80
1000,0.50,100,1,704.00,1.59
1000,0.50,100,2,712.53,1.60
1000,0.50,100,3,748.83,1.60
1000,0.50,100,4,711.96,1.59
1000,0.50,100,5,763.03,1.61
1000,0.50,100,6,784.84,1.59
1000,0.50,100,7,703.90,1.60
1000,0.50,100,8,648.83,1.60
1000,0.50,100,9,712.23,1.61
1000,0.50,100,10,742.47,1.60
1000,0.75,5,1,1135.35,0.20
1000,0.75,5,2,1068.95,0.20
1000,0.75,5,3,1062.80,0.20
1000,0.75,5,4,945.20,0.20
1000,0.75,5,5,1173.66,0.20
1000,0.75,5,6,1030.83,0.20
1000,0.75,5,7,1013.90,0.20
1000,0.75,5,8,932.56,0.20
1000,0.75,5,9,1054.88,0.20
1000,0.75,5,10,1049.06,0.20
1000,0.75,10,1,968.81,0.39
1000,0.75,10,2,946.70,0.40
1000,0.75,10,3,908.37,0.39
1000,0.75,10,4,921.39,0.39
1000,0.75,10,5,956.53,0.39
1000,0.75,10,6,982.70,0.39
1000,0.75,10,7,966.99,0.39
1000,0.75,10,8,931.03,0.39
1000,0.75,10,9,974.96,0.39
1000,0.75,10,10,972.96,0.39
1000,0.75,50,1,684.36,1.92
1000,0.75,50,2,684.50,1.92
1000,0.75,50,3,683.15,1.93
1000,0.75,50,4,744.53,1.91
1000,0.75,50,5,673.51,1.91
1000,0.75,50,6,771.04,1.92
1000,0.75,50,7,710.94,1.92
1000,0.75,50,8,712.53,1.92
1000,0.75,50,9,710.15,1.92
1000,0.75,50,10,709.09,1.91
1000,0.75,100,1,591.37,3.83
1000,0.75,100,2,570.73,3.81
1000,0.75,100,3,661.95,3.83
1000,0.75,100,4,620.80,3.81
1000,0.75,100,5,621.78,3.82
1000,0.75,100,6,654.91,4.71
1000,0.75,100,7,620.10,3.81
1000,0.75,100,8,591.63,3.82
1000,0.75,100,9,592.20,3.82
1000,0.75,100,10,733.36,3.83
1000,0.90,5,1,858.62,0.53
1000,0.90,5,2,940.05,0.52
1000,0.90,5,3,897.20,0.52
1000,0.90,5,4,967.87,0.52
1000,0.90,5,5,878.71,0.53
1000,0.90,5,6,904.14,0.52
1000,0.90,5,7,839.46,0.52
1000,0.90,5,8,931.67,0.52
1000,0.90,5,9,869.07,0.52
1000,0.90,5,10,734.57,0.52
1000,0.90,10,1,736.66,1.03
1000,0.90,10,2,761.10,1.03
1000,0.90,10,3,854.73,1.04
1000,0.90,10,4,765.67,1.04
1000,0.90,10,5,752.09,1.03
1000,0.90,10,6,836.81,1.04
1000,0.90,10,7,765.45,1.04
1000,0.90,10,8,752.50,1.04
1000,0.90,10,9,768.52,1.03
1000,0.90,10,10,756.12,1.03
1000,0.90,50,1,609.28,5.12
1000,0.90,50,2,656.75,5.10
1000,0.90,50,3,590.68,5.10
1000,0.90,50,4,591.73,5.10
1000,0.90,50,5,571.32,5.12
1000,0.90,50,6,614.42,5.11
1000,0.90,50,7,598.91,5.11
1000,0.90,50,8,593.00,5.12
1000,0.90,50,9,637.47,5.11
1000,0.90,50,10,574.34,5.11
1000,0.90,100,1,560.75,10.23
1000,0.90,100,2,521.64,10.18
1000,0.90,100,3,559.97,10.20
1000,0.90,100,4,591.61,10.21
1000,0.90,100,5,507.62,10.21
1000,0.90,100,6,540.38,10.19
1000,0.90,100,7,516.46,10.19
1000,0.90,100,8,519.83,10.21
1000,0.90,100,9,463.76,10.20
1000,0.90,100,10,558.41,10.22
1000,1.00,5,1,560.73,53.40
1000,1.00,5,2,517.02,53.32
1000,1.00,5,3,512.24,53.34
1000,1.00,5,4,482.40,53.29
1000,1.00,5,5,517.54,53.32
1000,1.00,5,6,494.78,53.34
1000,1.00,5,7,515.94,53.45
1000,1.00,5,8,514.22,53.32
1000,1.00,5,9,513.72,53.30
1000,1.00,5,10,521.42,53.26
1000,1.00,10,1,452.19,107.14
1000,1.00,10,2,500.37,106.45
1000,1.00,10,3,486.53,107.31
1000,1.00,10,4,499.19,106.47
1000,1.00,10,5,501.85,106.75
1000,1.00,10,6,496.76,106.46
1000,1.00,10,7,491.46,106.58
1000,1.00,10,8,476.39,107.08
1000,1.00,10,9,510.14,106.83
1000,1.00,10,10,478.36,106.85
1000,1.00,50,1,468.69,533.47
1000,1.00,50,2,473.07,532.52
1000,1.00,50,3,476.78,532.12
1000,1.00,50,4,459.01,532.59
1000,1.00,50,5,477.24,532.98
