Temperatura,Coeficiente de Resfriamento,Máximo de Iterações,Execução,Função Objetivo,Tempo (ms)
1000,0.50,5,1,4734,0.48
1000,0.50,5,2,3913,0.54
1000,0.50,5,3,5391,0.36
1000,0.50,5,4,4298,0.58
1000,0.50,5,5,4308,0.37
1000,0.50,5,6,3620,0.59
1000,0.50,5,7,5681,0.36
1000,0.50,5,8,5715,0.36
1000,0.50,5,9,1961,1.04
1000,0.50,5,10,3784,0.53
1000,0.50,10,1,5128,0.83
1000,0.50,10,2,5784,0.80
1000,0.50,10,3,3166,1.43
1000,0.50,10,4,5430,0.75
1000,0.50,10,5,5760,0.90
1000,0.50,10,6,6317,0.84
1000,0.50,10,7,4988,0.83
1000,0.50,10,8,5344,0.92
1000,0.50,10,9,3576,1.31
1000,0.50,10,10,6865,0.78
1000,0.50,50,1,8118,3.39
1000,0.50,50,2,7347,3.75
1000,0.50,50,3,7498,3.48
1000,0.50,50,4,7919,3.80
1000,0.50,50,5,8079,3.72
1000,0.50,50,6,7232,3.96
1000,0.50,50,7,6528,3.53
1000,0.50,50,8,7820,3.53
1000,0.50,50,9,8810,3.52
1000,0.50,50,10,7358,3.77
1000,0.50,100,1,8911,6.86
1000,0.50,100,2,8213,6.71
1000,0.50,100,3,8687,6.67
1000,0.50,100,4,8280,6.70
1000,0.50,100,5,8425,7.00
1000,0.50,100,6,7713,7.23
1000,0.50,100,7,8283,6.97
1000,0.50,100,8,6467,7.65
1000,0.50,100,9,7870,7.55
1000,0.50,100,10,7202,7.99
1000,0.75,5,1,5046,1.17
1000,0.75,5,2,5998,1.09
1000,0.75,5,3,4442,1.01
1000,0.75,5,4,3982,1.43
1000,0.75,5,5,2789,1.74
1000,0.75,5,6,5115,1.18
1000,0.75,5,7,4389,1.05
1000,0.75,5,8,6092,0.89
1000,0.75,5,9,4151,1.10
1000,0.75,5,10,7016,0.84
1000,0.75,10,1,5701,2.20
1000,0.75,10,2,7393,1.70
1000,0.75,10,3,7082,2.00
1000,0.75,10,4,5570,2.29
1000,0.75,10,5,7971,1.67
1000,0.75,10,6,6892,1.85
1000,0.75,10,7,6103,2.08
1000,0.75,10,8,8160,1.62
1000,0.75,10,9,8532,1.66
1000,0.75,10,10,8057,1.65
1000,0.75,50,1,7808,9.14
1000,0.75,50,2,8940,8.24
1000,0.75,50,3,7846,8.94
1000,0.75,50,4,8386,8.13
1000,0.75,50,5,7952,9.32
1000,0.75,50,6,8253,8.64
1000,0.75,50,7,8592,8.84
1000,0.75,50,8,7337,8.82
1000,0.75,50,9,8474,8.17
1000,0.75,50,10,8096,9.45
1000,0.75,100,1,8817,16.23
1000,0.75,100,2,7954,16.83
1000,0.75,100,3,8474,17.97
1000,0.75,100,4,8602,15.73
1000,0.75,100,5,8810,16.63
1000,0.75,100,6,8234,17.68
1000,0.75,100,7,9147,16.38
1000,0.75,100,8,8751,15.52
1000,0.75,100,9,8842,16.24
1000,0.75,100,10,8478,17.45
1000,0.90,5,1,6959,2.46
1000,0.90,5,2,7106,2.52
1000,0.90,5,3,6223,2.79
1000,0.90,5,4,7231,2.42
1000,0.90,5,5,6730,2.42
1000,0.90,5,6,5304,2.63
1000,0.90,5,7,8911,2.25
1000,0.90,5,8,7743,2.54
1000,0.90,5,9,8272,2.10
1000,0.90,5,10,7629,2.13
1000,0.90,10,1,7973,4.59
1000,0.90,10,2,6586,5.35
1000,0.90,10,3,7284,5.60
1000,0.90,10,4,7851,5.08
1000,0.90,10,5,8141,4.33
1000,0.90,10,6,8049,4.26
1000,0.90,10,7,7086,4.87
1000,0.90,10,8,7949,4.58
1000,0.90,10,9,8299,4.56
1000,0.90,10,10,8990,4.44
1000,0.90,50,1,8929,21.00
1000,0.90,50,2,8481,22.76
1000,0.90,50,3,9147,21.63
1000,0.90,50,4,9147,21.67
1000,0.90,50,5,8810,21.45
1000,0.90,50,6,8940,21.57
1000,0.90,50,7,8929,21.75
1000,0.90,50,8,8168,22.42
1000,0.90,50,9,8897,20.66
1000,0.90,50,10,8940,21.55
1000,0.90,100,1,8629,45.63
1000,0.90,100,2,8423,46.07
1000,0.90,100,3,9147,42.98
1000,0.90,100,4,8788,43.53
1000,0.90,100,5,9147,43.22
1000,0.90,100,6,8929,43.60
1000,0.90,100,7,8375,47.04
1000,0.90,100,8,9147,43.43
1000,0.90,100,9,9147,43.00
1000,0.90,100,10,8713,50.47
1000,1.00,5,1,9147,227.14
1000,1.00,5,2,8929,216.28
1000,1.00,5,3,8929,226.99
1000,1.00,5,4,9147,225.04
1000,1.00,5,5,8940,218.36
1000,1.00,5,6,8929,226.91
1000,1.00,5,7,9147,226.95
1000,1.00,5,8,9147,225.07
1000,1.00,5,9,8929,232.25
1000,1.00,5,10,8929,226.92
1000,1.00,10,1,9147,453.16
1000,1.00,10,2,9147,452.10
1000,1.00,10,3,9147,452.82
1000,1.00,10,4,9147,454.46
1000,1.00,10,5,9147,453.79
1000,1.00,10,6,8990,455.55
1000,1.00,10,7,9147,453.96
1000,1.00,10,8,9147,450.65
1000,1.00,10,9,9147,475.40
1000,1.00,10,10,8990,453.79
1000,1.00,50,1,9147,2260.48
1000,1.00,50,2,9147,2269.22
1000,1.00,50,3,9147,2257.68
1000,1.00,50,4,9147,2258.61
1000,1.00,50,5,9147,2177.56
1000,1.00,50,6,9147,2259.62
1000,1.00,50,7,9147,2267.78
1000,1.00,50,8,9147,2258.99
1000,1.00,50,9,9147,2256.37
1000,1.00,50,10,9147,2263.43
1000,1.00,100,1,9147,4523.94
1000,1.00,100,2,9147,4519.64
1000,1.00,100,3,9147,5044.82
1000,1.00,100,4,9147,4622.58
1000,1.00,100,5,9147,4642.99
1000,1.00,100,6,9147,4545.95
1000,1.00,100,7,9147,4528.16
1000,1.00,100,8,9147,4530.28
1000,1.00,100,9,9147,4520.28
1000,1.00,100,10,9147,4528.48
10000,0.50,5,1,5503,0.53
10000,0.50,5,2,4338,0.55
10000,0.50,5,3,5962,0.57
10000,0.50,5,4,6470,0.43
10000,0.50,5,5,4404,0.61
10000,0.50,5,6,3502,0.69
10000,0.50,5,7,6060,0.39
10000,0.50,5,8,5511,0.46
10000,0.50,5,9,5319,0.49
10000,0.50,5,10,4940,0.63
10000,0.50,10,1,7543,0.92
10000,0.50,10,2,6434,0.98
10000,0.50,10,3,7790,0.86
10000,0.50,10,4,4595,1.19
10000,0.50,10,5,6138,0.89
10000,0.50,10,6,5718,0.90
10000,0.50,10,7,6681,1.01
10000,0.50,10,8,5813,0.98
10000,0.50,10,9,4896,1.03
10000,0.50,10,10,7381,0.88
10000,0.50,50,1,7022,5.86
10000,0.50,50,2,8544,4.29
10000,0.50,50,3,7601,4.23
10000,0.50,50,4,7718,4.10
10000,0.50,50,5,7791,4.09
10000,0.50,50,6,8660,4.06
10000,0.50,50,7,7484,4.37
10000,0.50,50,8,8259,4.05
10000,0.50,50,9,8504,4.05
10000,0.50,50,10,7896,4.13
10000,0.50,100,1,8900,7.68
10000,0.50,100,2,8686,7.82
10000,0.50,100,3,8599,7.83
10000,0.50,100,4,8592,8.22
10000,0.50,100,5,8497,7.95
10000,0.50,100,6,8160,8.30
10000,0.50,100,7,8477,8.25
10000,0.50,100,8,7806,8.36
10000,0.50,100,9,8929,7.84
10000,0.50,100,10,7870,8.32
10000,0.75,5,1,6203,1.19
10000,0.75,5,2,5958,1.24
10000,0.75,5,3,5871,1.26
10000,0.75,5,4,7944,1.08
10000,0.75,5,5,8187,1.03
10000,0.75,5,6,4471,1.48
10000,0.75,5,7,7796,1.06
10000,0.75,5,8,5506,1.28
10000,0.75,5,9,7155,1.11
10000,0.75,5,10,7471,0.98
10000,0.75,10,1,7090,1.99
10000,0.75,10,2,7561,1.99
10000,0.75,10,3,6687,2.63
10000,0.75,10,4,8563,1.81
10000,0.75,10,5,8783,1.93
10000,0.75,10,6,8592,2.01
10000,0.75,10,7,7104,2.17
10000,0.75,10,8,8454,2.16
10000,0.75,10,9,7082,2.25
10000,0.75,10,10,7941,2.18
10000,0.75,50,1,8661,10.19
10000,0.75,50,2,8481,9.67
10000,0.75,50,3,7740,9.83
10000,0.75,50,4,8522,9.69
10000,0.75,50,5,8135,9.95
10000,0.75,50,6,8693,9.67
10000,0.75,50,7,8072,11.73
10000,0.75,50,8,8497,9.72
10000,0.75,50,9,7979,9.97
10000,0.75,50,10,8810,10.29
10000,0.75,100,1,8551,19.26
10000,0.75,100,2,8575,19.86
10000,0.75,100,3,8510,19.21
10000,0.75,100,4,8661,20.11
10000,0.75,100,5,8897,19.50
10000,0.75,100,6,8900,18.76
10000,0.75,100,7,8661,18.68
10000,0.75,100,8,9147,19.07
10000,0.75,100,9,8990,19.18
10000,0.75,100,10,8530,19.77
10000,0.90,5,1,7510,2.88
10000,0.90,5,2,8079,2.57
10000,0.90,5,3,7308,2.95
10000,0.90,5,4,7170,2.80
10000,0.90,5,5,7697,2.91
10000,0.90,5,6,7284,2.90
10000,0.90,5,7,8067,2.55
10000,0.90,5,8,8285,2.72
10000,0.90,5,9,8183,2.83
10000,0.90,5,10,7714,2.94
10000,0.90,10,1,7850,5.40
10000,0.90,10,2,8615,5.32
10000,0.90,10,3,8551,5.50
10000,0.90,10,4,7672,5.68
10000,0.90,10,5,7597,5.85
10000,0.90,10,6,8425,5.24
10000,0.90,10,7,7998,5.89
10000,0.90,10,8,8425,5.33
10000,0.90,10,9,7817,8.38
10000,0.90,10,10,8141,5.95
10000,0.90,50,1,8990,25.72
10000,0.90,50,2,8897,25.86
10000,0.90,50,3,8693,25.16
10000,0.90,50,4,8990,25.97
10000,0.90,50,5,8314,31.16
10000,0.90,50,6,8810,26.66
10000,0.90,50,7,8897,25.54
10000,0.90,50,8,8632,24.54
10000,0.90,50,9,8687,26.09
10000,0.90,50,10,9147,25.72
10000,0.90,100,1,8897,51.80
10000,0.90,100,2,9147,52.19
10000,0.90,100,3,8940,56.21
10000,0.90,100,4,8799,52.57
10000,0.90,100,5,8990,53.72
10000,0.90,100,6,8990,51.72
10000,0.90,100,7,8940,52.30
10000,0.90,100,8,8661,52.70
10000,0.90,100,9,8929,51.06
10000,0.90,100,10,8661,52.45
10000,1.00,5,1,8990,262.97
10000,1.00,5,2,9147,272.25
10000,1.00,5,3,8929,271.53
10000,1.00,5,4,9147,270.86
10000,1.00,5,5,9147,264.04
10000,1.00,5,6,8990,271.36
10000,1.00,5,7,9147,271.97
10000,1.00,5,8,9147,271.31
10000,1.00,5,9,8990,264.77
10000,1.00,5,10,9147,272.99
10000,1.00,10,1,9147,543.26
10000,1.00,10,2,8990,561.75
10000,1.00,10,3,9147,542.20
10000,1.00,10,4,9147,537.06
10000,1.00,10,5,9147,564.68
10000,1.00,10,6,9147,544.12
10000,1.00,10,7,8990,541.96
10000,1.00,10,8,8990,608.18
10000,1.00,10,9,9147,556.54
10000,1.00,10,10,9147,547.48
10000,1.00,50,1,9147,2715.51
10000,1.00,50,2,9147,2971.48
10000,1.00,50,3,9147,2735.57
10000,1.00,50,4,9147,2716.79
10000,1.00,50,5,9147,2713.50
10000,1.00,50,6,9147,2708.15
10000,1.00,50,7,9147,2707.71
10000,1.00,50,8,9147,2840.95
10000,1.00,50,9,9147,2725.50
10000,1.00,50,10,9147,2631.82
10000,1.00,100,1,9147,5422.90
10000,1.00,100,2,9147,5433.02
10000,1.00,100,3,9147,5423.77
10000,1.00,100,4,9147,5269.78
10000,1.00,100,5,9147,5432.00
10000,1.00,100,6,9147,5432.66
10000,1.00,100,7,9147,5430.96
10000,1.00,100,8,9147,5427.04
10000,1.00,100,9,9147,5425.29
10000,1.00,100,10,9147,5596.92
