Duração Da Lista Tabu,Máximo de Iterações,Função Objetivo,Tempo (ms)
5,5,602.012,31.21
5,100,587.97,81.61
5,200,607.67,132.12
10,5,596.44,33.62
10,100,612.90,85.40
10,200,544.28,139.68
20,5,605.95,36.56
20,100,578.85,87.05
20,200,553.79,163.59
